20:04:33 - Starting servent [3|localhost:1400]
20:04:33 - Pausing for 1000 ms
20:04:34 - Pausing for 59000 ms
20:04:38 - Sending message [ID: 18][SOURCE: 1][3->2][BODY: 5][TYPE: TRANSACTION] {0=0, 1=18, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 26][SOURCE: 1][3->4][BODY: 10][TYPE: TRANSACTION] {0=0, 1=26, 2=0, 3=0, 4=0}
20:04:38 - Rebroadcasting: 1
20:04:38 - Already had this. Rejecting.

20:04:38 - Rebroadcasting: 2
20:04:38 - Sending message [ID: 5][SOURCE: 1][3->2][BODY: 5][TYPE: TRANSACTION] {0=0, 1=5, 2=0, 3=0, 4=0}
20:04:38 - Rebroadcasting: 4

20:04:38 - Sending message [ID: 27][SOURCE: 1][3->4][BODY: 8][TYPE: TRANSACTION] {0=0, 1=27, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 25][SOURCE: 0][2->3][BODY: 6][TYPE: TRANSACTION] {0=25, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Rebroadcasting: 1
20:04:38 - Rebroadcasting: 2
20:04:38 - Rebroadcasting: 4

20:04:38 - Got message [ID: 18][SOURCE: 3][4->3][BODY: 10][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=18, 4=0}
20:04:38 - Got own TRANSACTION message back. No rebroadcast.

20:04:38 - Sending message [ID: 15][SOURCE: 0][3->2][BODY: 1][TYPE: TRANSACTION] {0=15, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 18][SOURCE: 3][2->3][BODY: 10][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=18, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Got message [ID: 12][SOURCE: 0][2->3][BODY: 3][TYPE: TRANSACTION] {0=12, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Sending message [ID: 1][SOURCE: 0][3->4][BODY: 9][TYPE: TRANSACTION] {0=1, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 7][SOURCE: 0][1->3][BODY: 9][TYPE: TRANSACTION] {0=7, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Rebroadcasting: 1
20:04:38 - Rebroadcasting: 2
20:04:38 - Rebroadcasting: 4

20:04:38 - Got message [ID: 29][SOURCE: 0][1->3][BODY: 8][TYPE: TRANSACTION] {0=29, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Sending message [ID: 19][SOURCE: 0][3->2][BODY: 7][TYPE: TRANSACTION] {0=19, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 4][SOURCE: 3][2->3][BODY: 3][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=4, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Sending message [ID: 29][SOURCE: 0][3->2][BODY: 8][TYPE: TRANSACTION] {0=29, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 27][SOURCE: 3][2->3][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=27, 4=0}
20:04:38 - Got own TRANSACTION message back. No rebroadcast.

20:04:38 - Sending message [ID: 45][SOURCE: 3][3->4][BODY: 795][TYPE: TELL] {0=0, 1=0, 2=1, 3=45, 4=0}
20:04:38 - Got message [ID: 37][SOURCE: 3][1->3][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=37, 4=0}
20:04:38 - Got own TRANSACTION message back. No rebroadcast.

20:04:38 - Sending message [ID: 12][SOURCE: 1][3->4][BODY: 3][TYPE: TRANSACTION] {0=0, 1=12, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 16][SOURCE: 1][3->4][BODY: 5][TYPE: TRANSACTION] {0=0, 1=16, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 3][SOURCE: 0][1->3][BODY: 8][TYPE: TRANSACTION] {0=3, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Rebroadcasting: 1
20:04:38 - Sending message [ID: 4][SOURCE: 0][3->4][BODY: 1][TYPE: TRANSACTION] {0=4, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Rebroadcasting: 2
20:04:38 - Rebroadcasting: 4

20:04:38 - Got message [ID: 0][SOURCE: 3][4->3][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Got own TRANSACTION message back. No rebroadcast.

20:04:38 - Sending message [ID: 27][SOURCE: 0][3->4][BODY: 8][TYPE: TRANSACTION] {0=27, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 10][SOURCE: 0][3->1][BODY: 2][TYPE: TRANSACTION] {0=10, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 8][SOURCE: 1][3->1][BODY: 9][TYPE: TRANSACTION] {0=0, 1=8, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 1][SOURCE: 2][3->2][BODY: 1000][TYPE: TELL] {0=0, 1=0, 2=1, 3=0, 4=0}
20:04:38 - Sending message [ID: 3][SOURCE: 1][3->4][BODY: 6][TYPE: TRANSACTION] {0=0, 1=3, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 25][SOURCE: 1][3->2][BODY: 6][TYPE: TRANSACTION] {0=0, 1=25, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 15][SOURCE: 1][3->2][BODY: 10][TYPE: TRANSACTION] {0=0, 1=15, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 6][SOURCE: 1][3->2][BODY: 2][TYPE: TRANSACTION] {0=0, 1=6, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 28][SOURCE: 1][3->2][BODY: 3][TYPE: TRANSACTION] {0=0, 1=28, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 11][SOURCE: 1][3->2][BODY: 9][TYPE: TRANSACTION] {0=0, 1=11, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 27][SOURCE: 0][3->1][BODY: 8][TYPE: TRANSACTION] {0=27, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 0][SOURCE: 2][3->4][BODY: ASK][TYPE: ASK] {0=0, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 10][SOURCE: 1][3->1][BODY: 10][TYPE: TRANSACTION] {0=0, 1=10, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 6][SOURCE: 0][3->1][BODY: 6][TYPE: TRANSACTION] {0=6, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 29][SOURCE: 1][3->4][BODY: 6][TYPE: TRANSACTION] {0=0, 1=29, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 19][SOURCE: 0][3->4][BODY: 7][TYPE: TRANSACTION] {0=19, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 15][SOURCE: 1][3->4][BODY: 10][TYPE: TRANSACTION] {0=0, 1=15, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 23][SOURCE: 1][3->2][BODY: 3][TYPE: TRANSACTION] {0=0, 1=23, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 17][SOURCE: 1][3->2][BODY: 8][TYPE: TRANSACTION] {0=0, 1=17, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 19][SOURCE: 1][3->1][BODY: 5][TYPE: TRANSACTION] {0=0, 1=19, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 6][SOURCE: 1][3->1][BODY: 2][TYPE: TRANSACTION] {0=0, 1=6, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 14][SOURCE: 0][1->3][BODY: 10][TYPE: TRANSACTION] {0=14, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Rebroadcasting: 1
20:04:38 - Rebroadcasting: 2
20:04:38 - Rebroadcasting: 4

20:04:38 - Got message [ID: 14][SOURCE: 3][2->3][BODY: 1][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=14, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Got message [ID: 29][SOURCE: 3][4->3][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=29, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Got message [ID: 16][SOURCE: 3][4->3][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=16, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Got message [ID: 32][SOURCE: 3][4->3][BODY: 3][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=32, 4=0}
20:04:38 - Got own TRANSACTION message back. No rebroadcast.

20:04:38 - Sending message [ID: 8][SOURCE: 1][3->2][BODY: 9][TYPE: TRANSACTION] {0=0, 1=8, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 24][SOURCE: 0][2->3][BODY: 7][TYPE: TRANSACTION] {0=24, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Rebroadcasting: 1
20:04:38 - Rebroadcasting: 2
20:04:38 - Rebroadcasting: 4

20:04:38 - Sending message [ID: 11][SOURCE: 0][3->4][BODY: 2][TYPE: TRANSACTION] {0=11, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 30][SOURCE: 3][2->3][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=30, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Got message [ID: 8][SOURCE: 3][4->3][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=8, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Sending message [ID: 1][SOURCE: 1][3->2][BODY: 7][TYPE: TRANSACTION] {0=0, 1=1, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 6][SOURCE: 0][3->4][BODY: 6][TYPE: TRANSACTION] {0=6, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 1][SOURCE: 2][3->1][BODY: 1000][TYPE: TELL] {0=0, 1=0, 2=1, 3=0, 4=0}
20:04:38 - Sending message [ID: 4][SOURCE: 0][3->1][BODY: 1][TYPE: TRANSACTION] {0=4, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 29][SOURCE: 1][3->2][BODY: 6][TYPE: TRANSACTION] {0=0, 1=29, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 4][SOURCE: 1][3->1][BODY: 5][TYPE: TRANSACTION] {0=0, 1=4, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 20][SOURCE: 0][3->4][BODY: 6][TYPE: TRANSACTION] {0=20, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 9][SOURCE: 1][3->1][BODY: 4][TYPE: TRANSACTION] {0=0, 1=9, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 16][SOURCE: 1][3->1][BODY: 5][TYPE: TRANSACTION] {0=0, 1=16, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 2][SOURCE: 1][3->4][BODY: 5][TYPE: TRANSACTION] {0=0, 1=2, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 20][SOURCE: 0][3->1][BODY: 6][TYPE: TRANSACTION] {0=20, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 10][SOURCE: 3][1->3][BODY: 9][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=10, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Sending message [ID: 10][SOURCE: 1][3->4][BODY: 10][TYPE: TRANSACTION] {0=0, 1=10, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 3][SOURCE: 1][3->2][BODY: 6][TYPE: TRANSACTION] {0=0, 1=3, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 17][SOURCE: 0][2->3][BODY: 10][TYPE: TRANSACTION] {0=17, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Got message [ID: 0][SOURCE: 0][1->3][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Rebroadcasting: 1
20:04:38 - Rebroadcasting: 2
20:04:38 - Rebroadcasting: 4

20:04:38 - Got message [ID: 2][SOURCE: 3][1->3][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=2, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Sending message [ID: 14][SOURCE: 1][3->2][BODY: 7][TYPE: TRANSACTION] {0=0, 1=14, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 0][SOURCE: 1][3->2][BODY: 9][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 27][SOURCE: 1][3->2][BODY: 8][TYPE: TRANSACTION] {0=0, 1=27, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 15][SOURCE: 3][1->3][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=15, 4=0}
20:04:38 - Got message [ID: 6][SOURCE: 3][4->3][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=6, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Got own TRANSACTION message back. No rebroadcast.

20:04:38 - Got message [ID: 40][SOURCE: 3][1->3][BODY: 1][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=40, 4=0}
20:04:38 - Sending message [ID: 13][SOURCE: 1][3->4][BODY: 7][TYPE: TRANSACTION] {0=0, 1=13, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 24][SOURCE: 1][3->2][BODY: 1][TYPE: TRANSACTION] {0=0, 1=24, 2=0, 3=0, 4=0}
20:04:38 - Got own TRANSACTION message back. No rebroadcast.

20:04:38 - Sending message [ID: 14][SOURCE: 1][3->4][BODY: 7][TYPE: TRANSACTION] {0=0, 1=14, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 45][SOURCE: 3][3->1][BODY: 795][TYPE: TELL] {0=0, 1=0, 2=1, 3=45, 4=0}
20:04:38 - Sending message [ID: 21][SOURCE: 1][3->1][BODY: 6][TYPE: TRANSACTION] {0=0, 1=21, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 24][SOURCE: 1][3->1][BODY: 1][TYPE: TRANSACTION] {0=0, 1=24, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 26][SOURCE: 1][3->1][BODY: 10][TYPE: TRANSACTION] {0=0, 1=26, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 8][SOURCE: 0][3->2][BODY: 8][TYPE: TRANSACTION] {0=8, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 21][SOURCE: 0][3->1][BODY: 5][TYPE: TRANSACTION] {0=21, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 21][SOURCE: 1][3->2][BODY: 6][TYPE: TRANSACTION] {0=0, 1=21, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 1][SOURCE: 0][3->1][BODY: 9][TYPE: TRANSACTION] {0=1, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 4][SOURCE: 0][3->2][BODY: 1][TYPE: TRANSACTION] {0=4, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 27][SOURCE: 0][3->2][BODY: 8][TYPE: TRANSACTION] {0=27, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 6][SOURCE: 0][2->3][BODY: 6][TYPE: TRANSACTION] {0=6, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Sending message [ID: 5][SOURCE: 1][3->4][BODY: 5][TYPE: TRANSACTION] {0=0, 1=5, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 0][SOURCE: 0][2->3][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Sending message [ID: 15][SOURCE: 0][3->1][BODY: 1][TYPE: TRANSACTION] {0=15, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 11][SOURCE: 0][1->3][BODY: 2][TYPE: TRANSACTION] {0=11, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Sending message [ID: 21][SOURCE: 0][3->4][BODY: 5][TYPE: TRANSACTION] {0=21, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 37][SOURCE: 3][4->3][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=37, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Sending message [ID: 2][SOURCE: 1][3->1][BODY: 5][TYPE: TRANSACTION] {0=0, 1=2, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 27][SOURCE: 3][1->3][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=27, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Sending message [ID: 28][SOURCE: 1][3->4][BODY: 3][TYPE: TRANSACTION] {0=0, 1=28, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 26][SOURCE: 0][2->3][BODY: 9][TYPE: TRANSACTION] {0=26, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Rebroadcasting: 1
20:04:38 - Rebroadcasting: 2
20:04:38 - Rebroadcasting: 4

20:04:38 - Sending message [ID: 22][SOURCE: 0][3->2][BODY: 7][TYPE: TRANSACTION] {0=22, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 23][SOURCE: 0][3->2][BODY: 6][TYPE: TRANSACTION] {0=23, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Sending message [ID: 23][SOURCE: 0][3->4][BODY: 6][TYPE: TRANSACTION] {0=23, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 44][SOURCE: 3][4->3][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=44, 4=0}
20:04:38 - Got own TRANSACTION message back. No rebroadcast.

20:04:38 - Sending message [ID: 29][SOURCE: 0][3->1][BODY: 8][TYPE: TRANSACTION] {0=29, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Got message [ID: 20][SOURCE: 3][1->3][BODY: 9][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=20, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Got message [ID: 15][SOURCE: 0][2->3][BODY: 1][TYPE: TRANSACTION] {0=15, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Got message [ID: 16][SOURCE: 0][2->3][BODY: 6][TYPE: TRANSACTION] {0=16, 1=0, 2=0, 3=0, 4=0}
20:04:38 - Rebroadcasting: 1
20:04:38 - Rebroadcasting: 2
20:04:38 - Rebroadcasting: 4

20:04:38 - Got message [ID: 12][SOURCE: 1][2->3][BODY: 3][TYPE: TRANSACTION] {0=0, 1=12, 2=0, 3=0, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Got message [ID: 37][SOURCE: 3][2->3][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=37, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Got message [ID: 28][SOURCE: 3][1->3][BODY: 3][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=28, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Got message [ID: 42][SOURCE: 3][4->3][BODY: 5][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=42, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:38 - Got message [ID: 13][SOURCE: 3][4->3][BODY: 5][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=13, 4=0}
20:04:38 - Already had this. Rejecting.

20:04:39 - Got message [ID: 5][SOURCE: 0][1->3][BODY: 8][TYPE: TRANSACTION] {0=5, 1=0, 2=0, 3=0, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 34][SOURCE: 3][2->3][BODY: 3][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=34, 4=0}
20:04:39 - Got own TRANSACTION message back. No rebroadcast.

20:04:39 - Got message [ID: 40][SOURCE: 3][4->3][BODY: 1][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=40, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 20][SOURCE: 3][4->3][BODY: 9][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=20, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Sending message [ID: 20][SOURCE: 0][3->2][BODY: 6][TYPE: TRANSACTION] {0=20, 1=0, 2=0, 3=0, 4=0}
20:04:39 - Got message [ID: 32][SOURCE: 3][2->3][BODY: 3][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=32, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 34][SOURCE: 3][1->3][BODY: 3][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=34, 4=0}
20:04:39 - Sending message [ID: 11][SOURCE: 0][3->1][BODY: 2][TYPE: TRANSACTION] {0=11, 1=0, 2=0, 3=0, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 5][SOURCE: 3][4->3][BODY: 5][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=5, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 0][SOURCE: 1][2->3][BODY: 9][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=0, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 5][SOURCE: 3][1->3][BODY: 5][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=5, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 8][SOURCE: 0][2->3][BODY: 8][TYPE: TRANSACTION] {0=8, 1=0, 2=0, 3=0, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 15][SOURCE: 3][2->3][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=15, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Sending message [ID: 22][SOURCE: 0][3->4][BODY: 7][TYPE: TRANSACTION] {0=22, 1=0, 2=0, 3=0, 4=0}
20:04:39 - Got message [ID: 1][SOURCE: 3][2->3][BODY: 3][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=1, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 24][SOURCE: 0][1->3][BODY: 7][TYPE: TRANSACTION] {0=24, 1=0, 2=0, 3=0, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Sending message [ID: 22][SOURCE: 0][3->1][BODY: 7][TYPE: TRANSACTION] {0=22, 1=0, 2=0, 3=0, 4=0}
20:04:39 - Got message [ID: 31][SOURCE: 3][2->3][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=31, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 27][SOURCE: 0][1->3][BODY: 8][TYPE: TRANSACTION] {0=27, 1=0, 2=0, 3=0, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 33][SOURCE: 3][2->3][BODY: 8][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=33, 4=0}
20:04:39 - Got message [ID: 9][SOURCE: 3][2->3][BODY: 8][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=9, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got own TRANSACTION message back. No rebroadcast.

20:04:39 - Got message [ID: 16][SOURCE: 0][1->3][BODY: 6][TYPE: TRANSACTION] {0=16, 1=0, 2=0, 3=0, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 3][SOURCE: 0][2->3][BODY: 8][TYPE: TRANSACTION] {0=3, 1=0, 2=0, 3=0, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 20][SOURCE: 0][1->3][BODY: 6][TYPE: TRANSACTION] {0=20, 1=0, 2=0, 3=0, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 44][SOURCE: 3][2->3][BODY: 2][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=44, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 22][SOURCE: 1][2->3][BODY: 5][TYPE: TRANSACTION] {0=0, 1=22, 2=0, 3=0, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 2][SOURCE: 0][2->3][BODY: 7][TYPE: TRANSACTION] {0=2, 1=0, 2=0, 3=0, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 25][SOURCE: 0][1->3][BODY: 6][TYPE: TRANSACTION] {0=25, 1=0, 2=0, 3=0, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 29][SOURCE: 3][1->3][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=29, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 33][SOURCE: 3][1->3][BODY: 8][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=33, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 16][SOURCE: 3][1->3][BODY: 6][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=16, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 9][SOURCE: 0][1->3][BODY: 10][TYPE: TRANSACTION] {0=9, 1=0, 2=0, 3=0, 4=0}
20:04:39 - Rebroadcasting: 1
20:04:39 - Got message [ID: 18][SOURCE: 3][1->3][BODY: 10][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=18, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Rebroadcasting: 2
20:04:39 - Rebroadcasting: 4

20:04:39 - Got message [ID: 39][SOURCE: 3][1->3][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=39, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Sending message [ID: 8][SOURCE: 0][3->1][BODY: 8][TYPE: TRANSACTION] {0=8, 1=0, 2=0, 3=0, 4=0}
20:04:39 - Got message [ID: 12][SOURCE: 3][1->3][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=12, 4=0}
20:04:39 - Got own TRANSACTION message back. No rebroadcast.

20:04:39 - Got message [ID: 28][SOURCE: 0][1->3][BODY: 9][TYPE: TRANSACTION] {0=28, 1=0, 2=0, 3=0, 4=0}
20:04:39 - Rebroadcasting: 1
20:04:39 - Rebroadcasting: 2
20:04:39 - Rebroadcasting: 4

20:04:39 - Got message [ID: 11][SOURCE: 3][1->3][BODY: 7][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=11, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 6][SOURCE: 3][1->3][BODY: 4][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=6, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Got message [ID: 32][SOURCE: 3][1->3][BODY: 3][TYPE: TRANSACTION] {0=0, 1=0, 2=0, 3=32, 4=0}
20:04:39 - Already had this. Rejecting.

20:04:39 - Sending message [ID: 17][SOURCE: 0][3->2][BODY: 10][TYPE: TRANSACTION] {0=17, 1=0, 2=0, 3=0, 4=0}
